जग 
मग 
खग 
पग 
ठग 
नग 
नल 
चल 
फल 
पल 
बल 
कल 
छल 
जल 
थल 
टल 
तल 
डर 
कर 
पर 
मर 
सर 
रथ 
पथ 
बस 
कस 
रस 
तन 
थन 
मन 
धन 
फण 
टन 
घर 
ऊन 
छत 
खत 
मत 
लत 
एक 
शक 
ढक 
थक 
पक 
रट 
फट 
तट 
घट 
आम 
गम 
कम 
जम 
दम 
बम 
हम 
जड़ 
अब 
जब 
तब 
सब 
टब 
कब 
भज 
सज 
दल 
नर 
शव 
नथ 
जज 
गज 
दस 
नस 
आप 
आज 
आठ 
आग 
आस 
वन 
ईश 
ईख 
ऊख 
यज्ञ 
आई 
आए 
आओ 
छक 
हल 
लड़ 
सच 
गढ़ 
मत 
सड़ 
सम 
हक 
हठ 
आड़ 
हर 
हश्र 
यश 
ओम 
लग 
लट 
वक 
वर 
वह 
शत 
शह 
वश 
वध 
नत 
पद 
फब 
बच 
बज 
बढ़ 
बन 
मठ 
यह 
यक्ष 
रख 
तप 
थम 
दक्ष 
धड़ 
नई 
नए 
नट 
नभ 
नम 
नव 
जन 
जप 
झट 
झड़ 
चढ़ 
डस 
गल 
डट 
ढह 
तक 
अंत 
कई 
कट 
गए 
गत 
घड़ 
घन 
चख 
छत्र 
जच 
श्रम 
इस 
उस 
उग 
उठ 
उफ 
ईद 
ओस 
और 
ओर 
अंग 
कद 
हद 
भर 
लय 
क्षय 
भय 
ऋण 
मल 
आन 
गई 
कण 
सह 
कह 
आह 
आय 
छह 
पक्ष 
अंश 
अंक 
ऊख 
यज्ञ 
आई 
आए 
आओ 
छक 
हल 
लड़ 
सच 
गढ़ 
